Entry	Entry name	Protein names	Gene names	Gene names  (primary )
Q9Y2J0	RP3A_HUMAN	Rabphilin-3A (Exophilin-1)	RPH3A KIAA0985	RPH3A
Q13905	RPGF1_HUMAN	Rap guanine nucleotide exchange factor 1 (CRK SH3-binding GNRP) (Guanine nucleotide-releasing factor 2) (Protein C3G)	RAPGEF1 GRF2	RAPGEF1
Q5TD94	RSH4A_HUMAN	Radial spoke head protein 4 homolog A (Radial spoke head-like protein 3)	RSPH4A RSHL3	RSPH4A
Q7Z769	S35E3_HUMAN	Solute carrier family 35 member E3 (Bladder cancer-overexpressed gene 1 protein)	SLC35E3 BLOV1 UNQ3043/PRO9859	SLC35E3
Q14160	SCRIB_HUMAN	Protein scribble homolog (Scribble) (hScrib) (Protein LAP4)	SCRIB CRIB1 KIAA0147 LAP4 SCRB1 VARTUL	SCRIB
Q12981	SEC20_HUMAN	Vesicle transport protein SEC20 (BCL2/adenovirus E1B 19 kDa protein-interacting protein 1) (Transformation-related gene 8 protein) (TRG-8)	BNIP1 NIP1 SEC20L TRG8	BNIP1
Q15436	SC23A_HUMAN	Protein transport protein Sec23A (hSec23A) (SEC23-related protein A)	SEC23A	SEC23A
O43236	SEPT4_HUMAN	Septin-4 (Apoptosis-related protein in the TGF-beta signaling pathway) (ARTS) (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Cerebral protein 7) (Peanut-like protein 2)	SEPTIN4 ARTS C17orf47 PNUTL2 SEP4 SEPT4 hucep-7	SEPTIN4
A0MZ66	SHOT1_HUMAN	Shootin-1 (Shootin1)	SHTN1 KIAA1598	SHTN1
Q96IW7	SC22A_HUMAN	Vesicle-trafficking protein SEC22a (SEC22 vesicle-trafficking protein homolog A) (SEC22 vesicle-trafficking protein-like 2)	SEC22A SEC22L2	SEC22A
Q8WWX8	SC5AB_HUMAN	Sodium/myo-inositol cotransporter 2 (Na(+)/myo-inositol cotransporter 2) (Sodium-dependent glucose cotransporter) (Sodium/glucose cotransporter KST1) (Sodium/myo-inositol transporter 2) (SMIT2) (Solute carrier family 5 member 11)	SLC5A11 KST1 SLGTX SMIT2	SLC5A11
P51170	SCNNG_HUMAN	Amiloride-sensitive sodium channel subunit gamma (Epithelial Na(+) channel subunit gamma) (ENaCG) (Gamma-ENaC) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG)	SCNN1G	SCNN1G
Q01118	SCN7A_HUMAN	Sodium channel protein type 7 subunit alpha (Putative voltage-gated sodium channel subunit alpha Nax) (Sodium channel protein cardiac and skeletal muscle subunit alpha) (Sodium channel protein type VII subunit alpha)	SCN7A SCN6A	SCN7A
Q13228	SBP1_HUMAN	Methanethiol oxidase (MTO) (EC 1.8.3.4) (56 kDa selenium-binding protein) (SBP56) (SP56) (Selenium-binding protein 1)	SELENBP1 SBP	SELENBP1
Q9BQ15	SOSB1_HUMAN	SOSS complex subunit B1 (Nucleic acid-binding protein 2) (Oligonucleotide/oligosaccharide-binding fold-containing protein 2B) (Sensor of single-strand DNA complex subunit B1) (Sensor of ssDNA subunit B1) (SOSS-B1) (Single-stranded DNA-binding protein 1) (hSSB1)	NABP2 OBFC2B SSB1 LP3587	NABP2
Q96PX8	SLIK1_HUMAN	SLIT and NTRK-like protein 1 (Leucine-rich repeat-containing protein 12)	SLITRK1 KIAA1910 LRRC12 UNQ233/PRO266	SLITRK1
P04179	SODM_HUMAN	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)	SOD2	SOD2
P61647	SIA8F_HUMAN	Alpha-2,8-sialyltransferase 8F (EC 2.4.99.-) (Sialyltransferase 8F) (SIAT8-F) (Sialyltransferase St8Sia VI) (ST8SiaVI)	ST8SIA6 SIAT8F	ST8SIA6
Q9C0H2	TTYH3_HUMAN	Protein tweety homolog 3 (hTTY3)	TTYH3 KIAA1691	TTYH3
O15400	STX7_HUMAN	Syntaxin-7	STX7	STX7
Q6ZVD7	STOX1_HUMAN	Storkhead-box protein 1 (Winged-helix domain-containing protein)	STOX1 C10orf24	STOX1
Q9NZ72	STMN3_HUMAN	Stathmin-3 (SCG10-like protein)	STMN3 SCLIP	STMN3
Q96FS4	SIPA1_HUMAN	Signal-induced proliferation-associated protein 1 (Sipa-1) (GTPase-activating protein Spa-1) (p130 SPA-1)	SIPA1 SPA1	SIPA1
Q9H6E5	STPAP_HUMAN	Speckle targeted PIP5K1A-regulated poly(A) polymerase (Star-PAP) (EC 2.7.7.19) (RNA-binding motif protein 21) (RNA-binding protein 21) (U6 snRNA-specific terminal uridylyltransferase 1) (U6-TUTase) (EC 2.7.7.52)	TUT1 RBM21	TUT1
Q8N2I9	STK40_HUMAN	Serine/threonine-protein kinase 40 (EC 2.7.11.1) (SINK-homologous serine/threonine-protein kinase) (Sugen kinase 495) (SgK495)	STK40 SGK495 SHIK	STK40
Q96DZ7	T4S19_HUMAN	Transmembrane 4 L6 family member 19 (Osteoclast maturation-associated gene 4 protein) (Tetraspan membrane protein OCTM4)	TM4SF19 OCTM4	TM4SF19
O95825	QORL1_HUMAN	Quinone oxidoreductase-like protein 1 (EC 1.-.-.-) (Protein 4P11) (Quinone oxidoreductase homolog 1) (QOH-1) (Zeta-crystallin homolog)	CRYZL1 4P11	CRYZL1
Q9HA92	RSAD1_HUMAN	Radical S-adenosyl methionine domain-containing protein 1, mitochondrial (Putative heme chaperone)	RSAD1	RSAD1
Q9UHA2	S18L2_HUMAN	SS18-like protein 2 (SYT homolog 2)	SS18L2	SS18L2
B4DS77	SHSA9_HUMAN	Protein shisa-9	SHISA9	SHISA9
Q9NY87	SPNXC_HUMAN	Sperm protein associated with the nucleus on the X chromosome C (Cancer/testis antigen 11.3) (CT11.3) (Cancer/testis-associated protein CTp11) (Nuclear-associated protein SPAN-Xc) (SPANX-C) (SPANX family member C)	SPANXC	SPANXC
Q96I15	SCLY_HUMAN	Selenocysteine lyase (hSCL) (EC 4.4.1.16)	SCLY SCL	SCLY
O94864	ST65G_HUMAN	STAGA complex 65 subunit gamma (Adenocarcinoma antigen ART1) (SPTF-associated factor 65 gamma) (STAF65gamma) (Suppressor of Ty 7-like)	SUPT7L KIAA0764	SUPT7L
Q9HBF5	ST20_HUMAN	Suppressor of tumorigenicity 20 protein (Human cervical cancer suppressor gene 1 protein) (HCCS-1)	ST20 HCCS1	ST20
Q9BWG4	SSBP4_HUMAN	Single-stranded DNA-binding protein 4	SSBP4	SSBP4
Q587J7	TDR12_HUMAN	Putative ATP-dependent RNA helicase TDRD12 (EC 3.6.4.13) (ES cell-associated transcript 8 protein) (Tudor domain-containing protein 12)	TDRD12 ECAT8	TDRD12
Q9NYW3	TA2R7_HUMAN	Taste receptor type 2 member 7 (T2R7) (Taste receptor family B member 4) (TRB4)	TAS2R7	TAS2R7
Q9BQ70	TCF25_HUMAN	Transcription factor 25 (TCF-25) (Nuclear localized protein 1)	TCF25 KIAA1049 NULP1 FKSG26	TCF25
Q5QJ38	TCHL1_HUMAN	Trichohyalin-like protein 1 (Basalin) (Protein S100-A17) (S100 calcium-binding protein A17)	TCHHL1 S100A17 THHL1	TCHHL1
Q8IXX5	T183A_HUMAN	Transmembrane protein 183A	TMEM183A C1orf37	TMEM183A
Q9BQE3	TBA1C_HUMAN	Tubulin alpha-1C chain (Alpha-tubulin 6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]	TUBA1C TUBA6	TUBA1C
P36402	TCF7_HUMAN	Transcription factor 7 (TCF-7) (T-cell-specific transcription factor 1) (T-cell factor 1) (TCF-1)	TCF7 TCF1	TCF7
Q9BXU0	TEX12_HUMAN	Testis-expressed protein 12	TEX12	TEX12
Q8IY95	TM192_HUMAN	Transmembrane protein 192	TMEM192	TMEM192
Q969S6	TM203_HUMAN	Transmembrane protein 203	TMEM203	TMEM203
Q9BSN7	TM204_HUMAN	Transmembrane protein 204 (Claudin-like protein 24)	TMEM204 C16orf30 CLP24 UNQ6509/PRO21434	TMEM204
P56557	TM50B_HUMAN	Transmembrane protein 50B (HCV p7-trans-regulated protein 3)	TMEM50B C21orf4 UNQ167/PRO193	TMEM50B
A0A1B0GVZ9	TM269_HUMAN	Transmembrane protein 269	TMEM269	TMEM269
A0A0A0MT87	TJB24_HUMAN	T cell receptor beta joining 2-4	TRBJ2-4	TRBJ2-4
